Country Name, Population 
World,7594270356
IDA & IBRD total,6412522234
Low & middle income,6383958209
Middle income,5678540888
IBRD only,4772284113
Early-demographic dividend,3249140605
Lower middle income,3022905169
Upper middle income,2655635719
East Asia & Pacific,2328220870
Late-demographic dividend,2288665963
East Asia & Pacific (excluding high income),2081651801
East Asia & Pacific (IDA & IBRD countries),2056064424
South Asia,1814388744
South Asia (IDA & IBRD),1814388744
IDA total,1640238121
China,1392730000
India,1352617328
OECD members,1303529456
High income,1210312147
Post-demographic dividend,1109997273
IDA only,1084407516
Sub-Saharan Africa,1078306520
Sub-Saharan Africa (IDA & IBRD countries),1078306520
Sub-Saharan Africa (excluding high income),1078209758
Least developed countries: UN classification,1009662578
Pre-demographic dividend,919485393
Europe & Central Asia,918793590
Heavily indebted poor countries (HIPC),780234406
Low income,705417321
Latin America & Caribbean,641357515
Latin America & the Caribbean (IDA & IBRD countries),625569713
Latin America & Caribbean (excluding high income),609013934
IDA blend,555830605
Fragile and conflict affected situations,515215936
European Union,513213363
Europe & Central Asia (IDA & IBRD countries),459865205
Middle East & North Africa,448912859
Arab World,419790588
Europe & Central Asia (excluding high income),417797257
Middle East & North Africa (excluding high income),382896715
Middle East & North Africa (IDA & IBRD countries),378327628
North America,364290258
Euro area,341783171
United States,327167434
Indonesia,267663435
Pakistan,212215030
Brazil,209469333
Nigeria,195874740
Bangladesh,161356039
Russian Federation,144478050
Japan,126529100
Mexico,126190788
Ethiopia,109224559
Philippines,106651922
Central Europe and the Baltics,102511922
"Egypt, Arab Rep.",98423595
Vietnam,95540395
"Congo, Dem. Rep.",84068091
Germany,82927922
Turkey,82319724
"Iran, Islamic Rep.",81800269
Thailand,69428524
France,66987244
United Kingdom,66488991
Italy,60431283
South Africa,57779622
Tanzania,56318348
Myanmar,53708395
"Korea, Rep.",51635256
Kenya,51393010
Colombia,49648685
Spain,46723749
Ukraine,44622516
Argentina,44494502
Uganda,42723139
Algeria,42228429
Sudan,41801533
Small states,40575321
Iraq,38433600
Poland,37978548
Afghanistan,37172386
Canada,37058856
Morocco,36029138
Saudi Arabia,33699947
Uzbekistan,32955400
Peru,31989256
Malaysia,31528585
Angola,30809762
Other small states,30758989
Ghana,29767108
Mozambique,29495962
"Venezuela, RB",28870195
"Yemen, Rep.",28498687
Nepal,28087871
Madagascar,26262368
"Korea, Dem. People’s Rep.",25549819
Cameroon,25216237
Cote d'Ivoire,25069229
Australia,24992369
Niger,22442948
Sri Lanka,21670000
Burkina Faso,19751535
Romania,19473936
Mali,19077690
Chile,18729160
Kazakhstan,18276499
Malawi,18143315
Zambia,17351822
Guatemala,17247807
Netherlands,17231017
Ecuador,17084357
Syrian Arab Republic,16906283
Cambodia,16249798
Senegal,15854360
Chad,15477751
Somalia,15008154
Zimbabwe,14439018
Guinea,12414318
Rwanda,12301939
Tunisia,11565204
Benin,11485048
Belgium,11422068
Bolivia,11353142
Cuba,11338138
Burundi,11175378
Haiti,11123176
South Sudan,10975920
Greece,10727668
Dominican Republic,10627165
Czech Republic,10625695
Portugal,10281762
Sweden,10183175
Jordan,9956011
Azerbaijan,9942334
Hungary,9768785
United Arab Emirates,9630959
Honduras,9587522
Belarus,9485386
Tajikistan,9100837
Israel,8883800
Austria,8847037
Papua New Guinea,8606316
Switzerland,8516543
Togo,7889094
Sierra Leone,7650154
"Hong Kong SAR, China",7451000
Caribbean small states,7358965
Lao PDR,7061507
Bulgaria,7024216
Serbia,6982084
Paraguay,6956071
Lebanon,6848925
Libya,6678567
Nicaragua,6465513
El Salvador,6420744
Kyrgyz Republic,6315800
Turkmenistan,5850908
Denmark,5797446
Singapore,5638676
Finland,5518050
Slovak Republic,5447011
Norway,5314336
"Congo, Rep.",5244363
Costa Rica,4999441
New Zealand,4885500
Ireland,4853506
Oman,4829483
Liberia,4818977
Central African Republic,4666377
West Bank and Gaza,4569087
Mauritania,4403319
Panama,4176873
Kuwait,4137309
Croatia,4089400
Georgia,3731000
Moldova,3545883
Uruguay,3449299
Bosnia and Herzegovina,3323929
Puerto Rico,3195153
Mongolia,3170208
Armenia,2951776
Jamaica,2934855
Albania,2866376
Lithuania,2789533
Qatar,2781677
Pacific island small states,2457367
Namibia,2448255
"Gambia, The",2280102
Botswana,2254126
Gabon,2119275
Lesotho,2108132
North Macedonia,2082958
Slovenia,2067372
Latvia,1926542
Guinea-Bissau,1874309
Kosovo,1845300
Bahrain,1569439
Trinidad and Tobago,1389858
Estonia,1320884
Equatorial Guinea,1308974
Timor-Leste,1267972
Mauritius,1265303
Cyprus,1189265
Eswatini,1136191
Djibouti,958920
Fiji,883483
Comoros,832322
Guyana,779004
Bhutan,754394
Solomon Islands,652858
"Macao SAR, China",631636
Montenegro,622345
Luxembourg,607728
Suriname,575991
Cabo Verde,543767
Maldives,515696
Malta,483530
Brunei Darussalam,428962
"Bahamas, The",385640
Belize,383071
Iceland,353574
Vanuatu,292680
Barbados,286641
New Caledonia,284060
French Polynesia,277679
Sao Tome and Principe,211028
Samoa,196130
St. Lucia,181889
Channel Islands,170499
Guam,165768
Curacao,159849
Kiribati,115847
"Micronesia, Fed. Sts.",112640
Grenada,111454
St. Vincent and the Grenadines,110210
Virgin Islands (U.S.),106977
Aruba,105845
Tonga,103197
Seychelles,96762
Antigua and Barbuda,96286
Isle of Man,84077
Andorra,77006
Dominica,71625
Cayman Islands,64174
Bermuda,63968
Marshall Islands,58413
Northern Mariana Islands,56882
Greenland,56025
American Samoa,55465
St. Kitts and Nevis,52441
Faroe Islands,48497
Sint Maarten (Dutch part),40654
Monaco,38682
Liechtenstein,37910
Turks and Caicos Islands,37665
St. Martin (French part),37264
San Marino,33785
Gibraltar,33718
British Virgin Islands,29802
Palau,17907
Nauru,12704
Tuvalu,11508
Eritrea,
Not classified,
